Nov27_1212_comp
----------------------------------------------------------------------------------------------------
[Twitter]   init=ones (20)   seed=42   batch_size=64 spectral_dim=300
File1: twitter_10000bins_modiffT  File1: twitter_10000bins_modiffT
----------------------------------------------------------------------------------------------------
lr=0.002 schedule=True ema=0.999 epochs=200 reduce=False eps=1e-05
(ScoreNetworkX)+(ScoreNetworkA_eigen=GCN,4)   : depth=2 adim=32 nhid=32 layers=6 linears=2 c=(2 8 4)
(x:VP)=(0.10, 20.00) N=1000 (adj:VP)=(0.10, 20.00) N=1000
----------------------------------------------------------------------------------------------------
001 | 6.17s | test x: 1.665e+02 | test adj: 1.426e+02 | train x: 1.754e+02 | train adj: 1.493e+02 | 
002 | 6.16s | test x: 7.204e+01 | test adj: 1.384e+02 | train x: 5.088e+01 | train adj: 1.431e+02 | 
003 | 6.12s | test x: 5.853e+01 | test adj: 1.374e+02 | train x: 3.623e+01 | train adj: 1.417e+02 | 
004 | 6.23s | test x: 6.178e+01 | test adj: 1.372e+02 | train x: 3.226e+01 | train adj: 1.410e+02 | 
005 | 6.26s | test x: 4.815e+01 | test adj: 1.338e+02 | train x: 3.021e+01 | train adj: 1.404e+02 | 
006 | 6.27s | test x: 4.143e+01 | test adj: 1.350e+02 | train x: 2.971e+01 | train adj: 1.411e+02 | 
007 | 6.28s | test x: 4.555e+01 | test adj: 1.358e+02 | train x: 3.310e+01 | train adj: 1.405e+02 | 
008 | 6.24s | test x: 3.935e+01 | test adj: 1.338e+02 | train x: 2.898e+01 | train adj: 1.399e+02 | 
009 | 6.48s | test x: 4.911e+01 | test adj: 1.343e+02 | train x: 2.759e+01 | train adj: 1.402e+02 | 
010 | 6.18s | test x: 4.409e+01 | test adj: 1.351e+02 | train x: 2.944e+01 | train adj: 1.405e+02 | 
011 | 6.23s | test x: 3.655e+01 | test adj: 1.326e+02 | train x: 3.001e+01 | train adj: 1.403e+02 | 
012 | 6.20s | test x: 4.192e+01 | test adj: 1.343e+02 | train x: 2.585e+01 | train adj: 1.399e+02 | 
013 | 6.30s | test x: 3.295e+01 | test adj: 1.320e+02 | train x: 3.006e+01 | train adj: 1.400e+02 | 
014 | 6.29s | test x: 5.614e+01 | test adj: 1.329e+02 | train x: 2.636e+01 | train adj: 1.396e+02 | 
015 | 6.47s | test x: 3.504e+01 | test adj: 1.337e+02 | train x: 2.299e+01 | train adj: 1.396e+02 | 
016 | 6.29s | test x: 4.757e+01 | test adj: 1.357e+02 | train x: 2.354e+01 | train adj: 1.406e+02 | 
017 | 6.26s | test x: 6.800e+01 | test adj: 1.336e+02 | train x: 2.548e+01 | train adj: 1.398e+02 | 
018 | 6.28s | test x: 4.772e+01 | test adj: 1.330e+02 | train x: 2.387e+01 | train adj: 1.401e+02 | 
019 | 6.20s | test x: 3.497e+01 | test adj: 1.318e+02 | train x: 2.368e+01 | train adj: 1.397e+02 | 
020 | 6.18s | test x: 4.652e+01 | test adj: 1.360e+02 | train x: 2.150e+01 | train adj: 1.402e+02 | 
021 | 6.25s | test x: 3.322e+01 | test adj: 1.333e+02 | train x: 2.304e+01 | train adj: 1.406e+02 | 
022 | 6.19s | test x: 2.731e+01 | test adj: 1.312e+02 | train x: 2.512e+01 | train adj: 1.397e+02 | 
023 | 6.09s | test x: 3.992e+01 | test adj: 1.333e+02 | train x: 2.235e+01 | train adj: 1.393e+02 | 
024 | 6.21s | test x: 4.633e+01 | test adj: 1.366e+02 | train x: 2.068e+01 | train adj: 1.400e+02 | 
025 | 6.28s | test x: 4.805e+01 | test adj: 1.346e+02 | train x: 2.396e+01 | train adj: 1.398e+02 | 
026 | 6.20s | test x: 4.035e+01 | test adj: 1.314e+02 | train x: 2.444e+01 | train adj: 1.401e+02 | 
027 | 6.17s | test x: 4.084e+01 | test adj: 1.326e+02 | train x: 2.085e+01 | train adj: 1.394e+02 | 
028 | 6.14s | test x: 4.223e+01 | test adj: 1.338e+02 | train x: 2.203e+01 | train adj: 1.394e+02 | 
